city_code;da_name;da_population;da_surface_ha;dvf_nbtrans_residential;dvf_pxm2_median_residential;dvf_surface_median_residential;dvf_nbtrans_cod111;dvf_pxm2_median_cod111;dvf_nbtrans_cod121;dvf_pxm2_median_cod121;dvf_surface_median_cod111;dvf_surface_median_cod121;dvf_nbtrans_terrain;dvf_pxm2_median_terrain;dvf_surface_median_terrain
01194;Jassans-Riottier;6247;502.24;144;3045;88;87;3402;57;2722;101;68;9;345;455
01195;Jasseron;1917;1894.55;51;2284;102;43;2415;8;1939;108;68;17;124;618
01196;Jayat;1261;1628.55;34;2014;95;33;2018;2;1836;95;73;7;45;1182
01197;Journans;387;244.09;13;2204;104;13;2204;0;;104;;3;116;636
01198;Joyeux;262;1660.12;5;2115;100;5;2115;0;;100;;0;;
01199;Jujurieux;2260;1551.32;58;1873;86;49;1902;9;1791;90;48;11;325;268
01200;Labalme;204;893.12;6;1317;81;5;1213;2;1193;74;88;1;795;44
01202;Lagnieu;7411;2737.06;221;2369;90;124;2521;97;2065;96;73;16;208;461
01203;Laiz;1293;1039.1;20;2560;105;20;2560;5;2324;105;71;19;86;871
01204;Le Poizat-Lalleyriat;732;3319.16;17;2176;106;16;2175;6;2100;107;80;11;120;743
01206;Lantenay;260;650.51;8;1337;110;6;1820;3;1067;110;76;0;;
01207;Lapeyrouse;348;2019.16;10;2525;134;10;2525;0;;134;;0;;
01208;Lavours;138;621.7;6;1767;114;6;1767;0;;114;;0;;
01209;Léaz;912;1142.31;28;3328;85;20;3541;8;3132;98;68;5;257;527
01210;Lélex;241;1773.54;52;2243;37;6;1638;46;2266;151;30;0;;
01211;Lent;1512;3174.09;30;2252;91;28;2252;5;1558;92;59;14;149;553
01212;Lescheroux;726;2023.52;26;1914;85;23;1958;5;1091;84;77;5;26;860
01213;Leyment;1441;1429.88;37;2615;92;35;2615;5;1500;96;66;16;349;366
01214;Leyssard;164;933.13;6;1897;106;6;1897;0;;106;;1;9;45
01215;Surjoux-Lhopital;138;805.1;5;2111;93;6;1889;1;2419;108;93;0;;
01216;Lhuis;886;2465.17;23;2067;85;22;2051;5;1410;85;67;6;65;867
01219;Lompnas;171;1264.32;7;1843;110;7;1843;0;;110;;0;;
01224;Loyettes;3554;2127.66;80;2681;94;60;2862;20;2465;99;82;21;418;369
01225;Lurcy;406;478.9;9;3702;110;9;3702;3;2467;110;75;5;510;450
01227;Magnieu;651;1145.92;16;2376;91;16;2376;0;;91;;15;113;633
01228;Maillat;669;1151.84;10;2181;91;8;2181;4;2180;97;103;1;11;5537
01229;Malafretaz;1257;925.91;20;1839;110;19;1833;10;2398;111;75;5;98;492
01230;Mantenay-Montlin;331;1088.01;12;1637;107;12;1637;0;;107;;2;984;5367
01231;Manziat;2018;1272.18;37;2130;101;37;2130;1;3333;101;60;22;186;722
01232;Marboz;2264;4032.06;60;1985;105;49;2019;11;1337;111;75;13;383;587
01233;Marchamp;137;1321.22;5;1491;114;5;1491;0;;114;;0;;
01234;Marignieu;162;350.47;5;1563;64;5;1563;0;;64;;0;;
01235;Marlieux;1185;1722.59;31;2458;103;27;2458;6;2532;108;67;6;330;612
01236;Marsonnas;1039;1835.46;35;1716;110;32;1778;3;1196;111;46;3;56;665
01237;Martignat;1664;1308.09;27;1622;86;14;2552;13;1459;101;73;6;177;844
01238;Massieux;2843;315.45;60;3251;100;55;3150;7;3418;100;72;8;340;420
01239;Massignieu-de-Rives;650;916.31;20;2340;113;17;2343;4;1629;120;93;7;276;554
01240;Matafelon-Granges;623;2176.48;30;1917;80;29;1915;2;2010;82;76;6;56;691
01241;Meillonnas;1426;1785.88;27;2100;97;26;2078;5;1742;98;72;24;171;444
01242;Mérignat;129;316.75;4;1125;100;4;1125;0;;100;;0;;
01243;Messimy-sur-Saône;1338;596.46;22;3175;104;22;3175;3;5882;104;35;19;324;463
01244;Meximieux;8247;1357.25;206;2879;88;115;2970;91;2750;99;63;14;263;406
01245;Bohas-Meyriat-Rignat;938;2342.28;13;1769;95;13;1769;0;;95;;1;1;784
01246;Mézériat;2172;1924.64;60;2050;100;50;2178;14;1748;100;81;15;91;710
01247;Mijoux;299;2205.63;57;2652;25;9;2969;48;2630;100;24;8;116;536
01248;Mionnay;2294;2002.3;41;3936;91;27;4064;14;3592;100;62;7;79;744
01249;Miribel;10395;2445.57;270;3476;83;134;3762;136;3226;103;65;24;504;500
01250;Misérieux;2008;745.68;44;3162;102;44;3162;3;2600;102;85;5;707;282
01252;Mogneneins;841;852.74;20;2893;95;20;2893;1;4786;95;63;5;178;404
01254;Montagnat;2186;1386.6;33;2869;112;33;2869;1;16065;112;17;7;49;145
01255;Montagnieu;668;621.42;17;1706;90;17;1706;1;739;90;153;5;273;349
01257;Montanges;369;1368;15;2429;90;14;2589;2;2970;91;75;3;345;308
01258;Montceaux;1196;1006.72;22;2471;95;22;2471;0;;95;;14;272;404
01259;Montcet;709;656.68;19;2405;106;19;2405;0;;106;;7;94;615
01260;Le Montellier;336;1532.99;6;2684;143;6;2684;0;;143;;4;188;761
01261;Monthieux;664;1076.21;11;3120;116;11;3120;2;4576;116;59;4;264;609
01262;Montluel;6895;4015.74;186;2734;72;65;3237;121;2620;98;61;13;218;536
01263;Montmerle-sur-Saône;3799;413.59;102;2804;94;73;2972;29;2185;101;60;12;386;467
01264;Montracol;1018;1467.76;20;2502;115;20;2502;1;1146;115;96;6;92;700
