Code_insee;Departement;Commune;Classement FRR et FRR+ au 10 juillet 2025;
02148;02;Celles-sur-Aisne;FRR socle;
02149;02;Cerizy;FRR+;
02150;02;Cerny-en-Laonnois;FRR+;
02151;02;Cerny-lès-Bucy;FRR+;
02152;02;Cerseuil;FRR socle;
02153;02;Cessières-Suzy;FRR+;
02154;02;Chacrise;FRR bénéficiaire;
02155;02;Chaillevois;FRR+;
02156;02;Chalandry;FRR+;
02157;02;Chambry;FRR socle;
02158;02;Chamouille;FRR+;
02159;02;Champs;FRR socle;
02160;02;Chaourse;FRR socle;
02162;02;La Chapelle-sur-Chézy;Non classée;
02163;02;Charly-sur-Marne;Non classée;
02164;02;Le Charmel;FRR socle;
02165;02;Charmes;Non classée;
02166;02;Chartèves;FRR socle;
02167;02;Chassemy;FRR socle;
02168;02;Château-Thierry;FRR socle;
02169;02;Châtillon-lès-Sons;FRR+;
02170;02;Châtillon-sur-Oise;FRR+;
02171;02;Chaudardes;FRR socle;
02172;02;Chaudun;FRR bénéficiaire;
02173;02;Chauny;Non classée;
02174;02;Chavignon;FRR+;
02175;02;Chavigny;Non classée;
02176;02;Chavonne;FRR socle;
02177;02;Chérêt;FRR+;
02178;02;Chermizy-Ailles;FRR+;
02179;02;Chéry-Chartreuve;FRR socle;
02180;02;Chéry-lès-Pouilly;FRR+;
02181;02;Chéry-lès-Rozoy;FRR socle;
02182;02;Chevennes;FRR+;
02183;02;Chevregny;FRR+;
02184;02;Chevresis-Monceau;FRR+;
02185;02;Chézy-en-Orxois;FRR socle;
02186;02;Chézy-sur-Marne;Non classée;
02187;02;Chierry;FRR socle;
02188;02;Chigny;FRR+;
02189;02;Chivres-en-Laonnois;FRR+;
02190;02;Chivres-Val;FRR socle;
02191;02;Chivy-lès-Étouvelles;FRR+;
02192;02;Chouy;Non classée;
02193;02;Cierges;FRR socle;
02194;02;Cilly;FRR+;
02195;02;Ciry-Salsogne;FRR socle;
02196;02;Clacy-et-Thierret;FRR+;
02197;02;Clairfontaine;FRR socle;
02198;02;Clamecy;FRR socle;
02199;02;Clastres;Non classée;
02200;02;Clermont-les-Fermes;FRR socle;
02201;02;Cœuvres-et-Valsery;Non classée;
02203;02;Coincy;FRR socle;
02204;02;Coingt;FRR+;
02205;02;Colligis-Crandelain;FRR+;
02206;02;Colonfay;FRR+;
02207;02;Commenchon;Non classée;
02208;02;Concevreux;FRR socle;
02209;02;Condé-en-Brie;FRR+;
02210;02;Condé-sur-Aisne;FRR socle;
02211;02;Condé-sur-Suippe;FRR socle;
02212;02;Condren;Non classée;
02213;02;Connigis;FRR socle;
02214;02;Contescourt;Non classée;
02215;02;Corbeny;FRR socle;
02216;02;Corcy;Non classée;
02217;02;Coucy-le-Château-Auffrique;FRR socle;
02218;02;Coucy-lès-Eppes;FRR+;
02219;02;Coucy-la-Ville;FRR socle;
02220;02;Coulonges-Cohan;FRR socle;
02221;02;Coupru;Non classée;
02222;02;Courbes;Non classée;
02223;02;Courboin;FRR socle;
02224;02;Courcelles-sur-Vesle;FRR socle;
02225;02;Courchamps;FRR socle;
02226;02;Courmelles;Non classée;
02227;02;Courmont;FRR socle;
02228;02;Courtemont-Varennes;FRR socle;
02229;02;Courtrizy-et-Fussigny;FRR+;
02230;02;Couvrelles;FRR socle;
02231;02;Couvron-et-Aumencourt;FRR+;
02232;02;Coyolles;Non classée;
02233;02;Cramaille;FRR bénéficiaire;
02234;02;Craonne;FRR socle;
02235;02;Craonnelle;FRR socle;
02236;02;Crécy-au-Mont;FRR socle;
02237;02;Crécy-sur-Serre;FRR+;
02238;02;Crépy;FRR+;
02239;02;Crézancy;FRR socle;
02240;02;Croix-Fonsomme;Non classée;
02241;02;La Croix-sur-Ourcq;FRR socle;
02242;02;Crouttes-sur-Marne;Non classée;
02243;02;Crouy;Non classée;
02244;02;Crupilly;FRR+;
02245;02;Cuffies;Non classée;
02246;02;Cugny;Non classée;
02248;02;Cuirieux;FRR+;
02249;02;Cuiry-Housse;FRR bénéficiaire;
02250;02;Cuiry-lès-Chaudardes;FRR socle;
02251;02;Cuiry-lès-Iviers;FRR socle;
02252;02;Cuissy-et-Geny;FRR socle;
02253;02;Cuisy-en-Almont;Non classée;
02254;02;Cutry;Non classée;
02255;02;Cys-la-Commune;FRR socle;
02256;02;Dagny-Lambercy;FRR socle;
02257;02;Dallon;Non classée;
02258;02;Dammard;Non classée;
02259;02;Dampleux;Non classée;
02260;02;Danizy;Non classée;
02261;02;Dercy;FRR+;
02262;02;Deuillet;Non classée;
02263;02;Dhuizel;FRR socle;
02264;02;Dizy-le-Gros;FRR socle;
02265;02;Dohis;FRR socle;
02266;02;Dolignon;FRR socle;
02267;02;Dommiers;Non classée;
02268;02;Domptin;Non classée;
02269;02;Dorengt;FRR socle;
02270;02;Douchy;FRR socle;
02271;02;Dravegny;FRR socle;
02272;02;Droizy;FRR bénéficiaire;
02273;02;Dury;FRR+;
02274;02;Ébouleau;FRR+;
02275;02;Effry;FRR+;
02276;02;Englancourt;FRR+;
02277;02;Épagny;Non classée;
02278;02;Éparcy;FRR+;
02279;02;Épaux-Bézu;FRR socle;
02280;02;Épieds;FRR socle;
02281;02;L'Épine-aux-Bois;FRR socle;
02282;02;Eppes;FRR+;
02283;02;Erlon;FRR+;
02284;02;Erloy;FRR+;
02286;02;Esquéhéries;FRR socle;
02287;02;Essigny-le-Grand;FRR+;
02288;02;Essigny-le-Petit;Non classée;
02289;02;Essises;Non classée;
02290;02;Essômes-sur-Marne;FRR socle;
02291;02;Estrées;Non classée;
02292;02;Étampes-sur-Marne;FRR socle;
02293;02;Étaves-et-Bocquiaux;Non classée;
02294;02;Étouvelles;FRR+;
02295;02;Étréaupont;FRR socle;
02296;02;Étreillers;Non classée;
02297;02;Étrépilly;FRR socle;
02298;02;Étreux;FRR+;
02299;02;Évergnicourt;FRR socle;
02302;02;Faverolles;Non classée;
02303;02;Fayet;Non classée;
02304;02;La Fère;Non classée;
02305;02;Fère-en-Tardenois;FRR socle;
02306;02;La Ferté-Chevresis;FRR+;
02307;02;La Ferté-Milon;Non classée;
02308;02;Fesmy-le-Sart;FRR socle;
02309;02;Festieux;FRR+;
02310;02;Fieulaine;Non classée;
02312;02;La Flamengrie;FRR socle;
