city_code;da_name;da_population;da_surface_ha;dvf_nbtrans;dvf_pxm2_median;dvf_surface_median;dvf_nbtrans_cod111;dvf_pxm2_median_cod111;dvf_nbtrans_cod121;dvf_pxm2_median_cod121;dvf_surface_median_cod111;dvf_surface_median_cod121;dvf_nbtrans_terrain;dvf_pxm2_median_terrain;dvf_surface_median_terrain;anct_part_actifs_transports_en_commun_2022;anct_taux_annuel_evol_population_2016_2022
18213;Saint-Germain-du-Puy;4779;2203.57;158;1625;85;156;1621;3;6417;86;38;60;67;716;4.7;-0.77
18214;Saint-Hilaire-de-Court;594;1211.85;27;1242;92;27;1242;0;;92;;6;6;3099;0.9;-0.28
18215;Saint-Hilaire-de-Gondilly;134;1876.69;7;1020;75;7;1020;0;;75;;5;2;3030;0;-4.21
18216;Saint-Hilaire-en-Lignières;504;5455.46;19;1250;82;19;1250;0;;82;;6;3;2080;1.5;-0.23
18217;Saint-Jeanvrin;169;1791.47;6;1023;74;6;1023;0;;74;;5;3;1444;0;1.26
18218;Saint-Just;656;1488.29;22;1529;105;22;1529;0;;105;;11;36;1131;0;0.18
18219;Saint-Laurent;511;3879.68;13;1290;113;13;1290;0;;113;;6;15;1286;3.1;0.43
18220;Saint-Léger-le-Petit;362;1005.02;18;1049;78;18;1049;0;;78;;5;5;1500;2.2;-0.14
18221;Saint-Loup-des-Chaumes;279;1883.45;6;969;103;6;969;0;;103;;2;5;2897;0;-0.91
18223;Saint-Martin-d'Auxigny;2546;2430.79;85;1422;98;84;1434;3;1888;98;50;39;13;912;0.9;1.07
18224;Saint-Martin-des-Champs;307;1891.73;10;1149;111;10;1149;0;;111;;4;4;1642;0;-0.16
18225;Saint-Maur;253;2610.14;12;1425;73;12;1425;0;;73;;3;1;1984;0;-1.87
18226;Saint-Michel-de-Volangis;474;1747.19;12;1618;97;12;1618;0;;97;;10;41;896;1;-0.35
18227;Sainte-Montaine;166;5359.15;13;1469;70;13;1469;1;1346;70;52;3;1;9920;4;-1.51
18228;Saint-Outrille;214;1261.09;13;929;107;13;929;0;;107;;3;10;392;1.6;0
18229;Saint-Palais;610;2645.83;15;1167;77;15;1167;0;;77;;6;14;1101;0;-0.16
18230;Saint-Pierre-les-Bois;261;2071.03;16;946;103;16;946;0;;103;;6;5;1658;3.8;-1.18
18231;Saint-Pierre-les-Étieux;729;2789.27;25;939;100;25;939;0;;100;;5;2;393;0.6;1.14
18232;Saint-Priest-la-Marche;237;2028.42;10;1132;66;10;1132;0;;66;;5;1;1270;0;1.78
18233;Saint-Satur;1408;786.13;67;1319;73;63;1310;11;1563;74;52;26;18;1237;2.4;-0.26
18234;Saint-Saturnin;446;3968.15;27;983;83;27;983;0;;83;;5;1;1395;0.8;0.78
18235;Sainte-Solange;1111;3180.95;34;1439;102;34;1439;1;607;102;140;12;6;501;0.8;-0.46
18236;Saint-Symphorien;133;967.3;6;862;119;6;862;0;;119;;0;;;0;-0.12
18237;Sainte-Thorette;473;2640.75;20;1256;80;20;1256;1;2463;80;80;6;13;608;2.3;-0.14
18238;Saint-Vitte;117;1669.41;5;682;100;5;682;0;;100;;1;11;1385;2;-1.44
18240;Sancergues;620;1564.67;23;850;93;20;888;4;1009;97;86;5;5;3259;3.3;-0.98
18241;Sancerre;1269;1632.27;71;1471;88;62;1487;9;1356;97;52;39;20;656;1.4;-0.98
18242;Sancoins;2951;5362.45;135;915;80;127;905;8;1188;81;50;17;4;2141;0.9;-0.82
18243;Santranges;440;2451.2;21;1136;65;20;1160;3;1059;66;51;8;1;655;1.5;0.98
18244;Saugy;77;971.69;1;626;98;1;626;0;;98;;0;;;3;-0.42
18245;Saulzais-le-Potier;472;3299.68;18;819;68;18;819;0;;68;;3;12;620;9.5;-0.78
18246;Savigny-en-Sancerre;1088;3367.39;55;1193;85;55;1193;2;1400;85;63;16;3;1266;1.1;1.92
18247;Savigny-en-Septaine;685;2284.8;23;1375;104;23;1375;0;;104;;3;15;1381;0;0.14
18248;Senneçay;443;1459.48;11;1692;88;11;1692;0;;88;;5;14;1391;0.9;-0.58
18249;Sens-Beaujeu;403;2171.77;25;1111;80;25;1111;0;;80;;6;2;1414;1.1;0.21
18250;Serruelles;66;757.72;1;1082;134;1;1082;0;;134;;0;;;0;-2.5
18251;Sévry;65;913.46;3;1084;98;3;1084;0;;98;;2;6;1963;0;-1.53
18252;Sidiailles;294;3204.87;23;1094;82;23;1094;0;;82;;7;3;931;1.3;-0.5
18253;Soulangis;454;1404.46;9;1667;112;9;1667;0;;112;;6;6;946;0;-0.99
18254;Soye-en-Septaine;582;1893.54;18;1645;90;18;1645;0;;90;;12;15;614;0;0.03
18255;Le Subdray;967;2052.41;24;1875;111;24;1875;0;;111;;8;56;1171;2.5;0.45
18256;Subligny;337;1758.52;8;1307;75;8;1307;0;;75;;7;4;1661;3.4;-0.29
18257;Sury-près-Léré;649;1801.03;29;1214;88;29;1214;0;;88;;6;11;2438;1.1;-1.01
18258;Sury-en-Vaux;680;1589.89;21;1012;74;21;1012;0;;74;;20;16;1193;1.4;-0.55
18259;Sury-ès-Bois;311;3279.74;11;795;89;11;795;0;;89;;7;4;3418;1.8;2.15
18260;Tendron;86;1057.65;4;912;108;4;912;0;;108;;0;;;2.1;-1.27
18261;Thaumiers;387;2769.15;19;1194;75;18;1201;1;1086;81;35;4;24;713;0.6;-0.99
18262;Thauvenay;313;997.25;10;1140;80;10;1140;0;;80;;9;10;2000;2.7;-0.81
18263;Thénioux;667;1869.53;22;1177;88;21;1198;1;659;84;91;12;4;1338;5.2;-0.03
18264;Thou;77;939.55;5;866;88;5;866;0;;88;;1;2;9860;2.9;0.43
18265;Torteron;785;1379.52;27;979;79;26;964;2;889;80;90;6;10;1560;0.3;-0.23
18266;Touchay;220;2372.19;15;992;90;15;992;0;;90;;7;4;2120;0;-2.52
18267;Trouy;4055;2348.6;112;1719;96;111;1711;1;2941;96;51;20;26;705;1.8;0.28
18268;Uzay-le-Venon;414;3535.28;21;857;72;21;857;0;;72;;6;4;1632;0;0.45
18269;Vailly-sur-Sauldre;649;1853.65;34;1074;86;33;1099;4;807;89;75;8;5;836;0.5;-0.33
18270;Vallenay;687;2601.12;30;1017;81;29;1035;1;893;82;66;6;2;1776;0.9;-1.06
18271;Vasselay;1579;2014.31;48;1810;104;48;1810;1;9222;104;45;16;18;1095;0.7;1.68
18272;Veaugues;593;2795.55;31;1062;85;31;1062;0;;85;;6;7;1898;0.8;-1.29
18273;Venesmes;782;3188.13;27;963;81;27;963;0;;81;;9;2;1216;0;-0.72
18274;Verdigny;313;498.93;7;1339;127;7;1339;0;;127;;19;17;1230;4.4;0.32
18275;Vereaux;143;2319.77;6;752;95;6;752;0;;95;;3;1;460;1.5;-0.24
18276;Vernais;179;2623.25;9;1618;80;8;1624;1;800;85;40;2;3;886;0;-1.05
18277;Verneuil;34;1131.93;2;1021;137;2;1021;0;;137;;0;;;5.6;0.48
18278;Vesdun;540;4994.38;30;900;80;30;900;1;979;80;66;1;2;779;1;-0.92
18279;Vierzon;25068;7473.66;1210;1054;72;877;1060;333;1034;79;48;154;10;1001;7.3;-0.71
18280;Vignoux-sous-les-Aix;708;1511.12;25;1406;90;25;1406;0;;90;;6;15;2869;0;-0.12
18281;Vignoux-sur-Barangeon;2026;2487.72;79;1515;92;77;1481;4;2075;93;53;30;8;908;1.7;-0.55
18282;Villabon;559;1843.25;18;1179;95;17;1090;1;2719;100;57;7;20;957;0.4;-0.21
18283;Villecelin;83;948.38;6;932;83;6;932;0;;83;;1;1;1395;2.9;-3.9
18284;Villegenon;217;3326.57;11;1295;86;11;1295;0;;86;;0;;;0;-0.31
18285;Villeneuve-sur-Cher;402;2654.36;12;1434;86;11;1466;1;1250;86;44;5;22;1137;0.6;-2.32
18286;Villequiers;437;3001.78;17;1159;80;17;1159;0;;80;;5;7;1941;0;-1.36
18287;Vinon;302;1828.29;14;1181;84;14;1181;0;;84;;10;13;3706;2.1;-0.28
18288;Vorly;247;1867.41;10;1400;75;10;1400;0;;75;;2;6;2932;0.8;0.9
18289;Vornay;584;2678.38;24;1271;93;24;1271;0;;93;;3;20;1470;0.3;-0.25
18290;Vouzeron;578;5282.89;19;1275;99;19;1275;1;1250;99;32;9;9;2013;5.6;0.64
19001;Affieux;385;3067.09;17;1205;80;17;1205;1;4583;80;48;6;10;636;2.8;0.54
19002;Aix;352;4875.28;7;676;56;7;676;0;;56;;10;5;1942;0;-0.97
19003;Albignac;236;983.66;11;1918;110;10;1978;1;912;108;265;5;9;2090;1.1;-1.29
19004;Albussac;725;3634.92;23;1250;93;21;1214;2;1562;100;63;13;5;1760;1.7;0.18
19005;Allassac;4081;3885.96;158;1547;90;137;1521;21;1667;93;60;50;12;1567;1.3;0.62
19006;Alleyrat;98;1501.84;5;1241;125;5;1241;0;;125;;2;14;3872;0;1.36
19007;Altillac;824;2547.83;31;1389;82;31;1389;0;;82;;26;4;1984;0.3;-0.78
19008;Ambrugeat;213;2964.1;7;1182;86;7;1182;0;;86;;7;7;1671;1.3;0.65
19009;Les Angles-sur-Corrèze;125;477.89;4;1578;104;4;1578;0;;104;;0;;;3.7;2.44
